total_lalu_lintas,permasalahan,tindakan
63110,1,0
139860,1,1
78511,1,0
100979,1,0
100979,1,0
78511,0,0
78551,0,1
65577,0,0
63110,0,1
78511,0,1
78511,0,0
124420,1,0
124420,1,1
78511,0,1
78511,0,1
24081,1,0
78511,0,0
78511,0,1
