gerbang_tol,mandiri,bri,bni,bca,total_lalu_lintas
Bekasi Barat 3,40656,2334,1546,21041,65577
Cibitung 3,78945,3103,2079,40293,124420
Cikampek Utama,47709,6430,1066,23306,78511
Cikarang Barat 4,14842,789,306,8144,24081
Cikarang Barat 5,38804,1193,963,22150,63110
Cikarang Utara,86007,2857,2293,48703,139860
Karawang Timur 1,62612,4373,1588,32406,100979
